UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
196.26857,106.18958,7.02094,7.34,0,0.65973496,92.00026504
196.26068,106.1454,7.0203943,7.35,0,0.66073227,91.98926773
196.25362,106.10196,7.0197678,7.36,0,0.6617297,91.9782703
196.24658,106.05853,7.019142,7.37,0,0.6627269,91.9672731
196.23886,106.01453,7.018568,7.38,0,0.6637242,91.9562758
196.2314,105.97073,7.0179825,7.39,0,0.6647216,91.9452784
196.22388,105.92688,7.0174007,7.4,0,0.66571903,91.93428097
196.21683,105.88345,7.0167694,7.41,0,0.6667161,91.9232839
196.20895,105.8393,7.016222,7.42,0,0.6677135,91.9122865
196.20206,105.796,7.0155764,7.43,0,0.66871095,91.90128905
196.19458,105.7522,7.014991,7.44,0,0.66970825,91.89029175
196.18752,105.70874,7.0143614,7.45,0,0.67070556,91.87929444
196.17966,105.66458,7.013817,7.46,0,0.671703,91.868297
196.17236,105.62096,7.0132103,7.47,0,0.6727003,91.8572997
196.16531,105.577515,7.012579,7.48,0,0.6736976,91.8463024
196.15784,105.53369,7.0119944,7.49,0,0.674695,91.835305
196.1499,105.48951,7.011445,7.5,0,0.6756923,91.8243077
196.14265,105.44589,7.0108395,7.51,0,0.67668974,91.81331026
196.13559,105.40245,7.010212,7.52,0,0.6776869,91.8023131
196.12808,105.35861,7.0096254,7.53,0,0.67868435,91.79131565
196.12024,105.31447,7.009078,7.54,0,0.6796818,91.7803182
196.11292,105.270805,7.0084734,7.55,0,0.6806791,91.7693209
196.10588,105.22739,7.007841,7.56,0,0.6816764,91.7583236
196.09837,105.18355,7.0072575,7.57,0,0.6826738,91.7473262
196.09048,105.13938,7.006709,7.58,0,0.6836711,91.7363289
196.08304,105.09557,7.0061255,7.59,0,0.68466854,91.72533146
196.07617,105.05232,7.005477,7.6,0,0.68566585,91.71433415
196.06848,105.00833,7.0049086,7.61,0,0.68666315,91.70333685
196.06122,104.96469,7.004302,7.62,0,0.6876606,91.6923394
196.05396,104.9211,7.0036945,7.63,0,0.6886579,91.6813421
196.04648,104.87728,7.0031004,7.64,0,0.68965507,91.67034493
196.03856,104.83308,7.0025635,7.65,0,0.6906526,91.6593474
196.0315,104.78963,7.0019293,7.66,0,0.6916499,91.6483501
196.02441,104.74618,7.0013037,7.67,0,0.692647,91.637353
196.01672,104.70218,7.0007353,7.68,0,0.6936445,91.6263555
196.00926,104.65839,7.0001497,7.69,0,0.6946418,91.6153582
196.00197,104.614746,6.999543,7.7,0,0.695639,91.604361
195.99509,104.57145,6.9988995,7.71,0,0.69663644,91.59336356
195.98721,104.5273,6.99835,7.72,0,0.69763386,91.58236614
195.97952,104.483315,6.9977827,7.73,0,0.69863117,91.57136883
195.97246,104.439865,6.997157,7.74,0,0.6996285,91.5603715
195.9654,104.39641,6.9965267,7.75,0,0.7006258,91.5493742
195.95792,104.352615,6.9959364,7.76,0,0.7016231,91.5383769
195.95064,104.308975,6.995327,7.77,0,0.7026205,91.5273795
195.94336,104.26534,6.9947224,7.78,0,0.7036178,91.5163822
195.93564,104.22133,6.994156,7.79,0,0.7046151,91.5053849
195.9282,104.177536,6.993572,7.8,0,0.70561266,91.49438734
195.92072,104.133736,6.992979,7.81,0,0.70660985,91.48339015
195.91348,104.09013,6.992378,7.82,0,0.70760727,91.47239273
195.90617,104.04647,6.991768,7.83,0,0.7086046,91.4613954
